,epoch,step,time/trnstep,train_loss_p
0,1.0,1.0,0.21144795417785645,207.58363342285156
1,1.0,2.0,0.04873180389404297,182.82154846191406
2,1.0,3.0,0.04532265663146973,177.13299560546875
3,1.0,4.0,0.04727005958557129,137.271484375
4,1.0,5.0,0.0472407341003418,137.30056762695312
5,1.0,6.0,0.047103166580200195,102.86740112304688
6,1.0,7.0,0.04786086082458496,112.70614624023438
7,1.0,8.0,0.04840850830078125,92.02169036865234
8,1.0,9.0,0.04796552658081055,102.59510803222656
9,1.0,10.0,0.04795026779174805,91.54713439941406
10,1.0,11.0,0.04824542999267578,77.73204040527344
11,1.0,12.0,0.04781317710876465,71.66426849365234
12,1.0,13.0,0.04768109321594238,71.48481750488281
13,1.0,14.0,0.0476229190826416,76.28842163085938
14,1.0,15.0,0.04901742935180664,74.15093231201172
15,1.0,16.0,0.047925472259521484,77.1110610961914
16,1.0,17.0,0.04842948913574219,67.2271957397461
17,1.0,18.0,0.049765825271606445,66.74080657958984
18,1.0,19.0,0.049265384674072266,65.18415069580078
19,1.0,20.0,0.05596446990966797,66.61129760742188
20,1.0,21.0,0.04945015907287598,62.97327423095703
21,1.0,22.0,0.0510258674621582,58.74980163574219
22,1.0,23.0,0.05002903938293457,57.41835021972656
23,1.0,24.0,0.05041313171386719,57.50957107543945
24,1.0,25.0,0.05041694641113281,52.01865768432617
25,1.0,26.0,0.050004005432128906,47.29818344116211
26,1.0,27.0,0.049974679946899414,44.58456039428711
27,1.0,28.0,0.05065131187438965,41.80305480957031
28,1.0,29.0,0.05013871192932129,36.9290885925293
29,1.0,30.0,0.05010080337524414,34.75469207763672
30,1.0,31.0,0.051216840744018555,31.082988739013672
31,1.0,32.0,0.0619962215423584,34.85338592529297
32,1.0,33.0,0.09159541130065918,34.6295051574707
33,1.0,34.0,0.060961008071899414,31.028196334838867
34,1.0,35.0,0.05137467384338379,29.46988296508789
35,1.0,36.0,0.051337480545043945,25.243215560913086
36,1.0,37.0,0.050340890884399414,29.06442642211914
37,1.0,38.0,0.05006003379821777,29.028017044067383
38,1.0,39.0,0.050095558166503906,24.259794235229492
39,1.0,40.0,0.05083632469177246,20.49112892150879
40,1.0,41.0,0.051944732666015625,19.62439727783203
41,1.0,42.0,0.05176997184753418,21.24991226196289
42,1.0,43.0,0.051640987396240234,17.319393157958984
43,1.0,44.0,0.05055379867553711,17.530630111694336
44,1.0,45.0,0.050186872482299805,14.42413330078125
45,1.0,46.0,0.05146360397338867,14.340715408325195
46,1.0,47.0,0.050633907318115234,14.105167388916016
47,1.0,48.0,0.051796913146972656,14.607873916625977
