,epoch,step,time/trnstep,train_loss_p
0,1.0,1.0,32.326069355010986,51.47956466674805
1,1.0,2.0,32.843918800354004,103.44685363769531
2,1.0,3.0,32.807328939437866,121.77095794677734
3,1.0,4.0,32.819172859191895,54.032257080078125
4,1.0,5.0,32.866658449172974,46.715206146240234
5,1.0,6.0,32.56773543357849,45.72248077392578
6,1.0,7.0,32.900203704833984,43.741065979003906
7,1.0,8.0,32.416635513305664,41.62171173095703
8,1.0,9.0,32.26349472999573,39.52280807495117
9,1.0,10.0,32.41165614128113,38.10464859008789
10,1.0,11.0,32.02914881706238,36.804107666015625
11,1.0,12.0,32.45085835456848,35.0194091796875
12,1.0,13.0,33.123783588409424,30.731006622314453
13,1.0,14.0,32.59757041931152,22.7195987701416
14,1.0,15.0,32.48541879653931,12.238507270812988
15,1.0,16.0,32.65903568267822,5.893800258636475
16,1.0,17.0,32.41338872909546,-3.553007125854492
17,1.0,18.0,32.114511013031006,-4.931130409240723
18,1.0,19.0,32.31595277786255,-0.2700772285461426
19,1.0,20.0,32.88724231719971,-13.575193405151367
20,1.0,21.0,32.97072792053223,-15.67172622680664
21,1.0,22.0,32.948140144348145,-24.12175178527832
22,1.0,23.0,32.545838594436646,-25.874126434326172
23,1.0,24.0,32.46286964416504,-28.289047241210938
24,1.0,25.0,32.87232995033264,-28.8282413482666
25,1.0,26.0,31.557454586029053,-33.22899627685547
26,1.0,27.0,32.3777072429657,-42.30979537963867
27,1.0,28.0,32.56976079940796,-44.253944396972656
28,1.0,29.0,30.981865644454956,-51.83601760864258
29,1.0,30.0,32.72649312019348,-56.227909088134766
30,1.0,31.0,31.265790939331055,-59.0981559753418
31,1.0,32.0,37.16439723968506,-61.49295425415039
32,1.0,33.0,33.689775705337524,-63.35505294799805
33,1.0,34.0,32.09460783004761,-65.63739013671875
34,1.0,35.0,32.73211050033569,-67.21034240722656
35,1.0,36.0,32.46820402145386,-68.12452697753906
36,1.0,37.0,32.98260450363159,-70.11746978759766
37,1.0,38.0,32.43007230758667,-72.14200592041016
38,1.0,39.0,32.56405591964722,-71.46585083007812
39,1.0,40.0,32.527827978134155,-72.04581451416016
40,1.0,41.0,32.37661600112915,-72.30989074707031
41,1.0,42.0,32.640217304229736,-75.65326690673828
42,1.0,43.0,33.03226184844971,-74.82826232910156
43,1.0,44.0,32.25349807739258,-75.94746398925781
44,1.0,45.0,32.740381479263306,-76.38923645019531
45,1.0,46.0,32.752382040023804,-77.02690887451172
46,1.0,47.0,32.03964400291443,-77.63650512695312
47,1.0,48.0,32.91647553443909,-78.6310806274414
48,1.0,49.0,32.33785939216614,-79.8761978149414
49,1.0,50.0,32.45055031776428,-78.74993133544922
